season,playerId,player,position,team,rec_yard_share,rec_share,rush_yard_share,td_share,dominator_rating
2004,135811,Justin Miller,TE,Clemson,,,0.001,0.0,0.0005
2004,147386,Josh Smith,WR,Akron,0.0016,0.0045,,0.0,0.0008
2004,156974,Dennis Pitta,TE,BYU,0.0417,0.0726,,0.0667,0.0542
2004,160248,Mike Naples,TE,Boston College,0.0009,0.0039,,0.0,0.0004
2004,164546,Eric Williams,WR,Western Kentucky,,,,,0.0
2005,162068,Will Hudgens,QB,Memphis,,,0.0004,0.0,0.0002
2005,162264,Kevin Jurovich,WR,San José State,,,0.0003,0.0,0.0001
2005,162269,Patrick Perry,RB,San José State,0.01,0.0175,0.0629,0.0741,0.0735
2005,169202,Kevin Grady,RB,Michigan,0.0245,0.0588,0.1047,0.1282,0.1287
2005,169254,Domenic Natale,QB,Michigan State,,,0.0006,0.0,0.0003
2005,169337,Tony Moeaki,TE,Iowa,0.0216,0.0327,,0.0,0.0108
2005,169855,DeMarco Sampson,WR,San Diego State,0.0132,0.0244,,0.0833,0.0483
2005,170291,Marcus Knox,RB,Rice,,,0.0022,0.0,0.0011
2005,170617,John Bonner,TE,Eastern Michigan,0.0202,0.0115,,0.0,0.0101
2005,170641,Jon Brown,QB,Kent State,,,-0.026,0.0,-0.013
2005,170660,Mark Woodson,WR,Kent State,0.008,0.0076,,0.0,0.004
2005,170685,Brett Hamlin,WR,Buffalo,0.1211,0.199,-0.0036,0.0,0.0588
2005,170735,Tim Hiller,QB,Western Michigan,,,0.0137,0.025,0.0193
2005,170771,Jason Harmon,TE,Florida Atlantic,0.0031,0.0064,,0.0,0.0016
2005,170781,William Rose,RB,Florida Atlantic,0.0053,0.0064,0.0006,0.0,0.003
2005,170810,Brandon Jones,QB,Ohio,,,-0.0059,0.0,-0.003
2005,170881,Michael Cannon,WR,Middle Tennessee,0.0009,0.0048,,0.0,0.0004
2005,170909,Reggie Fish,WR,Arkansas,0.0013,0.0067,0.0018,0.0,0.0015
2005,172908,Re'quan Boyette,RB,Duke,0.0051,0.0522,0.0923,0.0476,0.0725
2005,173162,Jessie Hester,WR,South Florida,0.0089,0.021,-0.0026,0.0,0.0031
2005,173441,Nyan Boateng,WR,Florida,0.0172,0.0166,0.0036,0.0,0.0104
2005,173479,Rocky Ross,WR,UCF,0.0295,0.073,,0.0,0.0148
2005,173548,Bill Stull,QB,Pittsburgh,,,,0.0,0.0
2005,173649,Richard Goodman,WR,Florida State,0.007,0.0156,,0.0,0.0035
2005,173658,Rod Owens,WR,Florida State,0.015,0.0195,,0.0278,0.0214
2005,174444,Jeremy Bruce,WR,West Virginia,0.0056,0.0246,0.0019,0.0,0.0037
2005,175594,Gavin Ketchum,WR,UCLA,0.0296,0.0445,,0.0182,0.0239
2005,175599,Ryan Moya,TE,UCLA,0.0296,0.0405,,0.0364,0.033
2005,175602,Logan Paulsen,TE,UCLA,0.0064,0.0081,,0.0,0.0032
2005,175660,Montario Hardesty,RB,Tennessee,,,0.005,0.0,0.0025
2005,175671,Austin Rogers,WR,Tennessee,0.005,0.0054,0.0072,0.0,0.0061
2005,175826,Shaun DeWitty,RB,Arizona State,,,0.0039,0.0,0.0019
2005,176754,Chad Bozzo,QB,San José State,,,0.0145,0.0,0.0072
2005,177201,Luke Ashworth,WR,BYU,0.0162,0.0181,,0.0,0.0081
2005,177383,Howard Morrow,WR,Texas A&M,0.0193,0.0361,,0.0,0.0097
2005,177871,LaGregory Sapp,WR,UL Monroe,-0.0016,0.0046,,0.0,-0.0008
2005,178008,Dominique Lindsay,RB,East Carolina,0.0042,0.0089,0.0485,0.0323,0.0425
2005,180116,Renan Saint Preux,WR,UNLV,0.0389,0.0837,0.0109,0.0,0.0249
2006,136470,Inoke Funaki,RB,Hawai'i,,,0.0034,0.0,0.0017
2006,148049,Andrew Davis,WR,Troy,0.0313,0.0714,0.0002,0.0571,0.0443
2006,156714,Sam Wheeler,TE,Virginia Tech,0.0519,0.0718,,0.0571,0.0545
2006,157010,Ray Stowers,RB,Utah,,,0.0005,0.0278,0.0141
2006,157491,Dustin Woods,WR,Miami (OH),0.1325,0.1037,-0.0008,0.1538,0.1428
2006,160044,Dion Morton,WR,Colorado State,0.0144,0.009,,0.0,0.0072
2006,160603,Grant Gregory,QB,South Florida,,,0.0011,0.0,0.0005
2006,161504,Luke Lippincott,RB,Nevada,0.0069,0.0368,0.1057,0.2045,0.1586
2006,162068,Will Hudgens,QB,Memphis,,,-0.002,0.0,-0.001
2006,162269,Patrick Perry,RB,San José State,0.0041,0.016,0.0978,0.1667,0.1343
2006,162413,Jordan Shipley,WR,Texas,0.045,0.0656,0.0216,0.0755,0.071
2006,168823,Sean Canfield,QB,Oregon State,,,-0.002,0.025,0.0115
2006,169065,Kevin Harris,RB,Wake Forest,0.0014,0.0266,0.0914,0.2222,0.1575
2006,169067,Brett Hodges,QB,Wake Forest,,,,0.0,0.0
2006,169077,Riley Skinner,QB,Wake Forest,0.0044,0.0053,-0.0165,0.037,0.0125
2006,169202,Kevin Grady,RB,Michigan,0.0017,0.0049,0.0388,0.0698,0.0551
2006,169230,Marquis Hamilton,WR,Iowa State,0.0189,0.0282,,0.0,0.0095
2006,169265,Andrew Brewer,WR,Northwestern,0.0129,0.0053,0.0541,0.125,0.096
2006,169280,Mike Kafka,QB,Northwestern,,,0.0705,0.0833,0.0769
2006,169294,Rich Gunnell,WR,Boston College,0.0211,0.0282,,0.0,0.0106
2006,169297,Clarence Megwa,WR,Boston College,0.0272,0.0423,,0.0,0.0136
2006,169337,Tony Moeaki,TE,Iowa,0.0281,0.0444,,0.0811,0.0546
2006,169341,Trey Stross,WR,Iowa,0.0379,0.0524,,0.027,0.0325
2006,169397,Kazeem Alli,TE,Cincinnati,0.0183,0.029,,0.0,0.0092
2006,169440,DaJuane Collins,RB,Toledo,0.0135,0.0279,0.0665,0.0882,0.0841
2006,169493,Stephen Williams,WR,Toledo,0.0222,0.0279,0.0033,0.0294,0.0275
2006,169525,Joe Tuzze,RB,Akron,0.0013,0.005,,0.0,0.0007
2006,169651,Maurice Grinter,TE,Kentucky,0.0037,0.011,0.0002,0.0465,0.0252
2006,169833,Alex Square,RB,Colorado State,,,0.0011,0.0,0.0006
2006,169840,Kevin Craft,QB,San Diego State,,,-0.0046,0.0,-0.0023
2006,169963,Jesson Salyards,TE,Wyoming,0.004,0.0095,,0.0,0.002
2006,169972,Karsten Sween,QB,Wyoming,0.0003,0.0048,-0.0236,0.069,0.0228
2006,169991,Daryl Jones,WR,New Mexico,0.0061,0.0049,,0.0,0.003
2006,169993,Donovan Porterie,QB,New Mexico,,,-0.0051,0.0,-0.0025
2006,169997,Luke Walters,TE,New Mexico,0.0034,0.0049,,0.0,0.0017
2006,170074,Seyi Ajirotutu,WR,Fresno State,0.0084,0.0225,0.0007,0.0,0.0046
2006,170084,Isaac Kinter,TE,Fresno State,0.0195,0.0562,,0.0645,0.042
2006,170086,Marlon Moore,WR,Fresno State,0.0259,0.0225,0.0076,0.0323,0.0329
2006,170091,Chastin West,WR,Fresno State,0.0899,0.1854,0.0143,0.0968,0.1005
2006,170183,Dwayne Sanders,WR,Nevada,0.0213,0.0316,0.0196,0.0,0.0204
2006,170296,John Thomas Shepherd,QB,Rice,,,-0.0038,0.0,-0.0019
2006,170424,Jesse Meyer,WR,Tulsa,0.0192,0.0329,,0.0,0.0096
2006,170442,Drew Westling,QB,Tulsa,,,,0.0,0.0
2006,170533,Freddie Barnes,WR,Bowling Green,0.0489,0.1026,0.0976,0.3548,0.2507
2006,170536,Chris Bullock,RB,Bowling Green,0.0287,0.0718,0.1853,0.129,0.1715
2006,170558,Bryan Anderson,WR,Central Michigan,0.165,0.2607,0.0027,0.102,0.1349
2006,170586,Dan LeFevour,QB,Central Michigan,0.0004,0.0036,0.0992,0.1429,0.1212
2006,170616,Terrence Blevins,RB,Eastern Michigan,0.0024,0.0046,0.032,0.0,0.0172
2006,170617,John Bonner,TE,Eastern Michigan,0.0287,0.0323,,0.0,0.0143
2006,170625,Dontayo Gage,WR,Eastern Michigan,0.051,0.129,0.0012,0.0,0.0261
2006,170633,Andy Schmitt,QB,Eastern Michigan,,,0.1391,0.2353,0.1872
2006,170635,Jacory Stone,WR,Eastern Michigan,0.0299,0.0599,,0.0588,0.0443
2006,170645,Eugene Jarvis,RB,Kent State,0.0327,0.1119,0.2068,0.1111,0.1753
2006,170650,Derek McBryde,WR,Kent State,0.0054,0.014,,0.0,0.0027
2006,170660,Mark Woodson,WR,Kent State,0.0026,0.007,0.0021,0.0,0.0023
2006,170677,Andre Bratton,RB,Miami (OH),0.0157,0.0581,0.0746,0.1538,0.1221
